micros	tikcs
6677784	-1121
6679056	-1121
6680332	-1122
6681612	-1123
6682884	-1124
6684156	-1124
6685432	-1125
6686708	-1126
6687984	-1127
6689260	-1127
6690532	-1128
6691808	-1129
6693084	-1129
6694356	-1130
6695632	-1131
6696908	-1132
6698184	-1132
6699456	-1133
6700732	-1134
6702008	-1135
6703284	-1135
6704556	-1136
6705832	-1137
6707108	-1137
6708384	-1138
6709656	-1139
6710932	-1140
6712208	-1140
6713484	-1141
6714756	-1142
6716032	-1143
6717308	-1143
6718584	-1144
6719856	-1145
6721132	-1145
6722408	-1146
6723684	-1147
6724956	-1148
6726232	-1148
6727508	-1149
6728784	-1150
6730056	-1150
6731332	-1151
6732608	-1152
6733884	-1153
6735156	-1153
6736432	-1154
6737708	-1155
6738984	-1155
6740256	-1156
6741532	-1157
6742808	-1158
6744084	-1158
6745360	-1159
6746632	-1160
6747908	-1160
6749188	-1161
6750456	-1162
6751732	-1163
6753008	-1163
6754284	-1164
6755560	-1165
6756832	-1165
6758108	-1166
6759384	-1167
6760656	-1167
6761932	-1168
6763208	-1169
6764484	-1170
6765756	-1170
6767032	-1171
6768308	-1172
6769584	-1172
6770860	-1173
6772132	-1174
6773408	-1175
6774684	-1175
6775960	-1176
6777232	-1177
6778508	-1177
6779784	-1178
6781056	-1179
6782332	-1180
6783608	-1180
6784884	-1181
6786160	-1182
6787432	-1182
6788708	-1183
6789984	-1184
6791256	-1184
6792532	-1185
6793808	-1186
6795084	-1187
6796356	-1187
6797632	-1188
6798908	-1189
6800184	-1189
6801456	-1190
6802732	-1191
6804008	-1192
6805284	-1192
6806556	-1193
6807832	-1194
6809108	-1194
6810384	-1195
6811664	-1196
6812932	-1196
6814208	-1197
6815484	-1198
6816756	-1199
6818032	-1199
6819308	-1200
6820584	-1201
6821856	-1201
6823132	-1202
6824408	-1203
6825684	-1204
6826956	-1204
6828232	-1205
6829508	-1206
6830784	-1206
6832056	-1207
6833332	-1208
6834608	-1208
6835884	-1209
6837156	-1210
6838432	-1210
6839708	-1211
6840992	-1212
6842256	-1213
6843532	-1213
6844808	-1214
6846084	-1215
6847356	-1215
6848632	-1216
6849908	-1217
6851184	-1217
6852456	-1218
6853732	-1219
6855008	-1219
6856284	-1220
6857556	-1221
6858832	-1221
6860108	-1222
6861384	-1223
6862656	-1223
6863932	-1224
6865208	-1225
6866484	-1225
6867756	-1226
6869032	-1227
6870308	-1227
6871584	-1228
6872856	-1229
6874132	-1229
6875408	-1230
6876684	-1231
6877960	-1231
6879240	-1232
6880508	-1233
6881784	-1233
6883056	-1234
6884332	-1235
6885608	-1235
6886884	-1236
6888156	-1236
6889432	-1237
6890708	-1238
6891984	-1238
6893256	-1239
6894532	-1240
6895808	-1240
6897084	-1241
6898356	-1242
6899632	-1242
6900908	-1243
6902184	-1244
6903456	-1244
6904732	-1245
6906008	-1245
6907284	-1246
6908556	-1247
6909832	-1247
6911108	-1248
6912384	-1249
6913656	-1249
6914932	-1250
6916208	-1250
6917484	-1251
6918756	-1252
6920032	-1252
6921308	-1253
6922584	-1254
6923856	-1254
6925132	-1255
6926408	-1256
6927684	-1256
6928956	-1257
6930232	-1257
6931508	-1258
6932784	-1259
6934056	-1259
6935332	-1260
6936608	-1261
6937884	-1261
6939156	-1262
6940432	-1262
6941716	-1263
6942984	-1264
6944256	-1264
6945532	-1265
6946808	-1265
6948084	-1266
6949360	-1267
6950632	-1267
6951908	-1268
6953184	-1269
6954456	-1269
6955732	-1270
6957008	-1270
6958284	-1271
6959556	-1272
6960832	-1272
6962108	-1273
6963384	-1274
6964656	-1274
6965932	-1275
6967208	-1275
6968484	-1276
6969756	-1277
6971032	-1277
6972308	-1278
6973584	-1278
6974856	-1279
6976132	-1280
6977408	-1280
6978684	-1281
6979956	-1282
6981232	-1282
6982508	-1283
